Tool,Link(s),License,Version,Last Update,System Requirements,Supported OS,Description
Talend Open Studio For Big Data,"https://www.talend.com/products/big-data/big-data-open-studio/

https://github.com/Talend/tbd-studio-se

https://download-mirror2.talend.com/tosbd/user-guide-download/V731/TalendOpenStudio_BigData_GettingStarted_EN_7.3.1.pdf",Apache v2 License,7.3.1,2/27/2020,"3GB minimum, 4 GB recommended, 3 GB Disk Space, Oracle Java 8 or 11 JRE, or OpenJDK 1.8 or 11, A properly installed and configured Hadoop cluster, 7-Zip (optional)","Windows 10, Ubuntu, MacOS","(LIMITED FREE VERSION

Simplify ETL for large and diverse data sets. 

-Upload to and extract big data from Hadoop HDFS, HBase, Hive, and NoSQL databases
-Develop data jobs that use Pig, HiveQL, MapReduce, and Sqoop
-Deploy and setup scheduling jobs with Apache Oozie
-Work with all the major Hadoop distributions including: Apache Hadoop, Cloudera CDH, Hortonworks Data Platform, MapR, and Greenplum

Hadoop and NoSQL with free open source ETL & ELT software for big data integration and transformation. Drag, drop, and configure pre-built components, generate native code, and deploy to Hadoop for simple EDW offloading and ingestion, loading, and unloading data into a data lake on-premises or any cloud platform. The visual development tool enables you to develop, maintain, and reuse jobs and take advantage of the massively parallel environment of Hadoop and NoSQL without learning new languages. Open Studio for Big Data is fully open source, so you can see the code and work with it. Embed existing Java code libraries, create your own components or leverage community components and code to extend your project. As an active contributor to Apache projects with millions of downloads and a full range of open source integration software tools, Talend is an open source leader in cloud and big data integration.

Design and Productivity Tools

-Hadoop job scheduler with YARN
-Hadoop security for Kerberos
-Ingestion, loading, and unloading data into a data lake
-Graphical design environment
-ETL and ELT support
-Versioning
-Connectors

Cloud: Amazon Web Services (AWS), Microsoft Azure, Google Cloud Platform, and more
RDBMS: Oracle, Teradata, Microsoft SQL server, and more
SaaS: Marketo, Salesforce, NetSuite, and more
Packaged Apps: SAP, Microsoft Dynamics, Sugar CRM, and more
Technologies: Dropbox, Box, SMTP, FTP/SFTP, LDAP, and more
Components

Hadoop components: HDFS, Hbase, Hive, Pig, Sqoop
File management: open, move, compress, decompress without scripting
Control and orchestrate data flows and data integrations with master jobs
Map, aggregate, sort, enrich, and merge data"
Talend Open Studio For Data Quality,"https://www.talend.com/products/talend-open-studio/
https://www.talend.com/products/specifications-data-preparation/
https://www.talend.com/services/training/catalog/data-preparation/
https://www.talend.com/products/data-preparation-free-desktop-manuals-release-notes/
https://www.talend.com/products/data-preparation/data-preparation-free-desktop/
https://help.talend.com/?_ga=2.160577595.701901107.1588024425-1229489531.1584476910&_gac=1.45294608.1586205682.EAIaIQobChMIyc_UytTU6AIVDtVkCh2RWgdCEAAYAiAAEgL_U_D_BwE

https://download-mirror2.talend.com/tdp/user-guide-download/V251/TalendDataPrep_GettingStarted_EN.pdf


",Apache License 2.0,v2.5,6/5/2018,"Processor 64-bit processor is required, Alllocated memory 1GB minimum, Disk space 500MB minimum + datasets = 5GB recommended","Windows, MacOS","LIMITED FREE VERSION
https://www.talend.com/products/pricing-model/

Talend Open Studio for Data Quality and Talend Data Preparation Free Desktop.  Do simple cleansing, data manipulation, standardization and enrichment.

Datasets can be a local or remote file that can be imported into the Talend Data Preparation tool (or from a database connection or other data sources, although not in the context of the Free Desktop version). A dataset is used as raw material for one or more preparations.

Create clean and valuable data in minutes with Single point of access across data sources, Interactive discovery, cleansing and formatting and Automation and reuse data preparation tasks.  Auto-discover and browse your data.

Import, export, and combine data from any database, Excel or CSV file, Export to Tableau, Auto-discovery, standardization, auto-profiling, smart suggestions, and data visualization, Cleansing and enrichment functions

Features:
- Import data
- Data standardization 
- Basic formatting and cleansing 
- Ability to add data cleaning recipes for reuse.  Multiple preparations can be saved and created for a single dataset
- Semantic type.  Talend Data Preparation automatically suggests the proper semantic type for each column of your datasets.
- Data quality bar - under each column is a color coded data quality bar that displays the aount of fields tha have correct data, empty fields, or incorrect data
- Basic text manipulation - clean and change values in a field with invalid values
- Basic numeric manipulation - clean and change outliers in a numeric field.  
- Data masking - mask sensitive data
- Data blending - connect data from different sources.  Take data from a preloaded dataset and add to a dataset you are working on
- Group and standardize - find cells that have similar content and group them together by changes the text to match

Design and Productivity Tools

Eclipse-based tooling
Customizable assessment
Pattern library
Data Quality and Governance

Data profiling and analytics with graphical charts and drilldown data
Advanced Data Profiling

Fraud pattern detection using Benford Law
Advanced statistics with indicator thresholds
Column set analysis
Advanced matching analysis
Time column correlation analysis

DATA SOURCES / FILE FORMATS
More than 900 pre-built connectors and components for Oracle, Teradata, Microsoft SQL server, Marketo, Salesforce, NetSuite, SAP, Microsoft Dynamics, Sugar CRM, Dropbox, Box, SMTP, FTP/SFTP, LDAP, and more"
Talend Open Studio For ESB,"https://www.talend.com/products/application-integration/esb-open-studio/
https://www.talend.com/download/esb-open-studio/
https://help.talend.com/reader/akzLCJX2jurKtvXycoNGyQ/0jR_lL3USb1L51fZ1wZ4ig
https://help.talend.com/reader/KMuqp2HM0UOrRllqA9mIzA/4LrCsbi2Vo7lnxTWI2gDBw

https://www.talend.com/products/application-integration/esb-manuals-release-notes/
",Apache license,7.3.1,2/26/2020,"https://help.talend.com/reader/3tqeAEtb4sPbcKls967Srg/Zx8UE3tObCgrhTVRjxi3dQ
Talend Studio Client        3GB – 4GB, Talend Runtime Server 2GB – 4GB
Talend Studio Client        3GB+ recommended, Talend Runtime Server 400MB+ recommended
Open JDK 11 recommended","Windows, Linux, MacOS","LIMITED FREE VERSION

Talend Open Studio for Enterprise Service Bus (ESB) is free-to-download software that easily service-enables and integrates applications and legacy systems.  Talend ESB is a versatile and flexible ESB that allows organizations to address diverse integration challenges. It supports a broad set of standard transports and protocols, as well as enterprise integration patterns (EIPs), a common set of best practice descriptions developed to design effective messaging solutions. Available in several packages, Talend ESB is open and standards-based to allow wide interoperability with existing and legacy infrastructure components.

Leveraging Apache CXF, Apache Camel and Apache ActiveMQ open source integration projects, Talend ESB makes enterprise-class integration accessible by delivering a cost-effective and easy-to-use way to integrate and expand systems and applications.

-Design and Productivity Tools
--Graphical design environment
--Versioning

-Agile Application Integration
--Drag-and-drop route, data, and web/REST services creation and simulation
--Deliver and route messages and events based on Enterprise Integration Patterns (EIPs)
--Reliable messaging backbone based on ActiveMQ
--Command line and scripting tools

-Connectors
--Cloud: Amazon Web Services (AWS), Microsoft Azure, Google Cloud Platform, and more
--RDBMS: Oracle, Teradata, Microsoft SQL server, and more
--SaaS: Marketo, Salesforce, NetSuite, and more
--Packaged Apps: SAP, Microsoft Dynamics, Sugar CRM, and more
--Technologies: Dropbox, Box, SMTP, FTP/SFTP, LDAP, and more

-Components
--Standard support: REST, SOAP, OpenID Connect, OAuth, SAML, WSDL, SWAGGER(tm), and more
--Transports/protocols support: HTTP, JMS, MQTT, AMQP, UDP, Apache Kafka, WebSphere MQ, and more
--Enterprise Integration Patterns for service mediation, routing, and messaging

-Services Management
--System monitoring: JMX / Jolokia
--Access into live statistics of message flow activity"
Talend Open Studio For MDM,"https://sourceforge.net/projects/talend-mdm/files/Talend%20MDM%20Community%20Edition/
https://help.talend.com/reader/_naRdaNqgnICsFhofGshTQ/pMnFXbKb9_D9cArV29E9FQ
https://sourceforge.net/projects/talend-mdm/",Apache V2,7.2.1,5/29/2019,"Memory usage: 4 GB recommended, Disk space: 3GB
Oracle Java 8 JRE or OpenJDK 1.8
7-Zip","Windows, Ubuntu, MacOS","LIMITED FREE VERSION

Talend Open Studio for MDM provides the key capabilities for data governance, which enable users to build data models employing the necessary business and data rules to create one single copy of the master data to be propagated back to the source and target systems.
Build a strong foundation for your MDM project with free open source master data management software.
Profile data from customers, suppliers, assets, employers and beyond. Create models to search and browse profiled data, so everyone can create and update master data through a web-based application. Generate a single “version of the truth” for data across your organization.
Expand your open source stack with Open Studio for ESB and pass updates to MDM to be disseminated out to connected systems.
As an active contributor to Apache projects with millions of downloads and a full range of robust, open source integration software tools, Talend is an open source leader in cloud and big data integration.

FEATURES:
-Design & productivity tools: Eclipse-based developer tooling and job designer, export and execute standalone jobs in runtime environments.
-MDM web application with master data repository, a fully functional MDM environment, and model-drive UI.
-Connectors for AWS, Microsoft Azure, Google Cloud Platform, and more. Plus SaaS, packaged apps, and web services.
-Components for data flow control with master jobs for basic matching and grouping of entity, and to map, aggregate, sort, enrich, and merge data.

Open Studio for ESB, sourceforge.net/projects/talendesb/
Data Quality & Profiling, sourceforge.net/projects/talendprofiler/
Data Preparation, sourceforge.net/projects/talend-data-preparation

DATA SOURCE / FILE FORMATS:
AWS, Microsoft Azure, Google Cloud Platform, and more. Plus, SaaS, packaged apps, and web services
"
OpenRefine,"http://openrefine.org/
https://github.com/OpenRefine/OpenRefine/wiki/Documentation-For-Developers
https://casci.umd.edu/wp-content/uploads/2013/12/OpenRefine-tutorial-v1.5.pdf
https://github.com/OpenRefine/OpenRefine/wiki/Installation-Instructions#requirements",Apache License 2.0,v3.3,1/31/2020,"Java JRE/JDK installed (If you are running a 64 bit operating system, then it's recommended that you install 64 bit Java)","Windows, Linux and Mac OS","OpenRefine (previously Google Refine) is a powerful tool for working with messy data: cleaning it; transforming it from one format into another; and extending it with web services and external data.

Tool for cleaning and transforming data

OpenRefine keeps your data private on your own computer by running a small server on your computer and you use your web browser to interact with it. OpenRefine is available in more than 15 languages. OpenRefine is part of Code for Science & Society.

File formats supported by Open refine includes TSV, CSV, *SV, .xls, .xlsx, JSON, XML,RDF as XML and google documents

Features:
-Data exploration
-Data cleaning and filtering
-Data transformation
-Data format conversion
-Data extension
-Data linking
-Data import
-Cell transformations
-Dataset linking
-Data partition
-Name-entity operation
-Advanced data operations
-General Refine Expression Language
-Data reconciliation and matching"
DataCleaner,"http://datacleaner.org/docs
https://github.com/datacleaner/DataCleaner
https://travis-ci.org/datacleaner/DataCleaner",GNU Lesser General Public License v3.0,5.7.0,4/1/2019,"A computer (with a graphical display, except if run in command-line mode).
A Java Runtime Environment (JRE), version 7 or higher.
A DataCleaner software license file for professional editions.
","Windows, Linux and Mac OS","(LIMITED) Community Edition is free, otherwise you need a subscription. 
Open source data quality tool data profiling, data cleaning, and data integration.  DataCleaner is a Data Quality toolkit that allows you to profile, correct and enrich your data. People use it for ad-hoc analysis, recurring cleansing as well as a swiss-army knife in matching and Master Data Management solutions.

DataCleaner is a strong data profiling engine for discovering and analyzing the quality of user's data.  It is built to handle data both big and small from CSV files, Excel spreadsheets to RDBMs and NoSQL databases.  User can build their own cleansing rules and compose them into several use scenarios or target databases whether it is simple search/replace rules, regular expressions, and pattern matching or completely custom transformations.

DataCleaner's Monitoring establishes the starting point and goals, and to ensure a process of following up on data quality issues.  The monitoring server of DataCleaner enables users to make point-in-time profiles of users' data, and to schedule periodic data quality checks and receive notifications if quality KPIs get out of control.

DataCleaner's Data Quality Eco-System delivers out-of-the-box functionality, and application extensions, integrations and shared content.

DataCleaner's Duplicate detection feature, builds on Machine Learning principles for eacse of configuraiton and impreoved inferential matchine

DataCleaner offers integrations with the Pentaho open source business intelligence suite

DATA SOURCES / FILE FORMATS:
CSV files, Excel spreadsheets
JDBC, MySQL, PostrgreSQL, SQL Server
Salesforce, SugarCRM
"
DataPreparator,"https://www.datapreparator.com/downloads.html
https://www.datapreparator.com/
https://www.datapreparator.com/features.html
https://www.softpedia.com/get/CD-DVD-Tools/Audio-CD-DVD-Burning/DataPreparator.shtml",https://www.datapreparator.com/software-license-agreement-2.html,1.7,7/12/2014,"JRE 1.6 or later,  Memory: 1G or more, Disk Space: 20M","Windows, MacOS, Linux","DataPreparator is a free software tool designed to assist with common tasks of  data preparation (or data preprocessing) in data analysis and data mining. 

DataPreparator provides:

-A variety of techniques for data cleaning, transformation, and exploration
-Chaining of preprocessing operators into a flow graph (operator tree)
-Handling of large volumes of data (since data sets are not stored in the computer memory)
-Stand alone tool independent of any other tools
-User friendly graphical user interface

DataPreparator can assist you with exploring and preparing data in various ways prior to data analysis or data mining. It includes operators for cleaning, discretization, numeration, scaling, attribute selection, missing values, outliers, statistics, visualization, balancing, sampling, row selection, and several other tasks. See Features for details.

FEATURES:
-Data Cleaning: - Data cleaning facilities include character removal, text replacement, and date conversion.
-Data Import/Export: - DataPreparator can be used to import data from a database and export them to a file and vice versa. 
-Data Integration: - Two operators, Append and Merge, can be used to combine data from different data sources.
-Data Reduction: - Data reduction can be achieved using sampling and record selection.
-Data Transformation: - DataPreparator can be used to preprocess data for data mining. It transforms training data using a series of transformations and in the process creates a model which can be used to transform corresponding test/execution data. DataPreparator provides many operators for transforming data. 
-Data Visualization: - Data visualization can be performed using a variety of statistical plots.

DATA SOURCE / FILE FORMATS:
JDBC, XLS
ARFF, DATA, CSV or plain text file format
"
Data Match,"https://dataladder.com/products/
http://dataladder.com/data-matching-software/
https://sourceforge.net/software/product/DataMatch/
https://youtu.be/QkM280dwES8
https://dataladder.com/wp-content/uploads/2019/06/DataMatch-Enterprise-Datasheet.pdf",Proprietary,,,"4 or more cores
Intel Core i7
16 or more GB of RAM
SSD, or SCSI HDDs
SSD (Free space requirements depends on the size of input data), 1 TB Disk Space, Microsoft Windows 7 SP1 and above, 64 bit (Current Generation) ",Windows,"30-day trial 

(Part of Data Ladder)
DataMatch Enterprise™ solution is a highly visual data cleansing application specifically designed to resolve customer and contact data quality issues. The platform leverages multiple proprietary and standard algorithms to identify phonetic, fuzzy, miskeyed, abbreviated, and domain-specific variations. Build scalable configurations for deduplication & record linkage, suppression, enhancement, extraction, and standardization of business and customer data and create a Single Source of Truth to maximize the impact of your data across the enterprise.


FEATURES:
- Data Deduplication
- Match and Merge

DATA SOURCES / FILE FORMATS:
Access, Apache HBase, Dynamics CRM, Email, Excel, Facebook, JSON, MongoDB, MySQL, Salesforce, SugarCRM, Twitter, XML"
DataMartist,"http://www.datamartist.com/
http://www.datamartist.com/downloads
http://www.datamartist.com/product/datamartist-faq
http://www.datamartist.com/product/datamartist-for-developers
https://www.softpedia.com/get/Internet/Servers/Database-Utils/Datamartist.shtml",Proprietary,1.5.4,9/23/2011,"1 Ghz or higher CPU
4 Gb RAM",Windows,"30 Day Free Trial
Standard - $349
Professional - $995

Datamartist is a low cost flexible, visual, data profiling and data transformation tool. It can read data from data sources (such as files, or relational databases), do data transformations using a simple, visual user interface, and then can write the results into files or databases. By combining a flexible ETL tool with data profiling capabilities, Datamartist is a fast and easy way to both do ad-hoc data profiling, and to set up automated data quality monitoring.
For a wide range of data transformation requirements, Datamartist is the only tool required, giving a fast and flexible ETL capability to pull all sorts of data from all sorts of sources.

-Profile your data
-Find Data Quality Issues
-Excel Import and Export

FEATURES:
-Data profiling and transformation (Standard)                  
--Import data from Excel, Text files and databases
--Transform data using a visual data canvas with blocks
--Profile data visually with drill down
--Output data to Excel, Text files and databases
-Advanced data profiling functionality (Pro)
--Automated Data Profiling and tracking with the data profiler block enables data quality metric tracking
--Regular expressions for powerful string parsing available in all expressions, filters and segmentation rule sets
--Data format profiling rule editing expands the ability to analyze string columns easily
--Value distribution analysis with graphical zoom, and drill down to explore numerical values
-Data mart blocks for star schema creation (Pro)
--Reference block to create unique keys and meta data
--De-duplication block to map duplicates to master records
--Visual hierarchy editor with drag and drop to build alternate drill down paths

DATA SOURCES / FILE FORMATS:
SQL Server, Oracle, MySQL, ODBC, MS Access, Excel Spreadsheets, Delimited text files including CSV data"
Pentaho Kettle,"https://sourceforge.net/projects/pentaho/files/latest/download?aliId=137249511

https://community.hitachivantara.com/s/article/data-integration-kettle

http://wiki.pentaho.com/display/EAI/Latest+Pentaho+Data+Integration+%28aka+Kettle%29+Documentation",Apache License 2.0,8.2,4/20/2020,"Pentaho is hardware agnostic but there is a recommended set of minimum system specifications:

Server:
RAM: at least 4GB, Hard drive space: at least 2GB for the software, and more for solution and content files, Processor: dual-core AMD64 or Intel EM64T

Workstation:
RAM: at least 2GB, Hard drive space: at least 1GB for the software, and more for solution and content files, Processor: dual-core AMD64 or Intel EM64T
","Windows, MacOS, Linux","Pentaho Community Edition is free -  LIMITED)

Works with WEKA (Data Profiling)

Data Integation - Extract, transform and load (ETL) limited data sets and create visualizations with Pentaho’s report designer tool.
The term, K.E.T.T.L.E is a recursive that stands for Kettle Extraction Transformation Transport Load Environment.  Pentaho Data Integration is well known for its ease of use and quick learning curve. PDI implements a metadata-driven approach which means that the development is based on specifying what to do, not how to do it. Pentaho lets administrators and ETL developers create their own data manipulation jobs with a user-friendly graphical creator, and without entering a single line of code. 
PDI uses a common, shared repository which enables remote ETL execution, facilitates teamwork, and simplifies the development process.

FEATURES:
ETL

DATA SOURCES / FILE FORMATS:
Oracle, PostgreSQL, Redshift, SAP, SQLite, SparkSQL, Sybase, Teradata, UniVerse, Verica, Cloudera Impala, Hypersonic, H2 and more"
SQL Power Architect,"http://www.sqlpower.ca/page/architect
http://www.bestofbi.com/page/architect_download_os",Proprietary,v1.0.8,,"JRE 7, Space 1.8 GB, I GB Ram, 2 Ghz Processor","Windows, macOS, Linux","Community (Free Use - LIMITED), Pro and Enterprise (Paid Version)

SQL Power Architect data modeling tool has many unique features geared specifically for the data warehouse architect. It is a powerful database utility that not only builds diagrams of databases, but also provides data dictionary language output, which can be used to build database solutions.


Connects to multiple source databases concurrently, Compares data models & database structures and identifies discrepancies, Generates source-to-target visual Mapping Reports, Forward/reverse engineers PostgreSQL, Oracle, MS SQL Server & more.

DATA SOURCES / FILE FORMATS:
JDBC, PostgreSQL, SQL, MySQL, HSSQLDB, Oracle, DB2, HSQLDB, SQLstream, H2, Derby"
SQL Power DQguru,"http://www.sqlpower.ca/page/dqguru
https://www.sqlpower.ca/dqguru/current.html",Proprietary,V0.9.7,4/10/2009,"JRE 6, 2 GB Ram, Screen Resolution 1280 X 800","Windows, MacOS, Linux","Community Edition alone is Free - LIMITED
SQL Power DQguru has a limited feature set.
Data Cleansing & MDM Tool - DQguru by SQL Power is a specialized and powerful tool that can help you deduplicate reference data. DQguru is a good tool for advanced end-users who don't want or need to be messing around with complicated SQL (or regular expressions, for that matter) to perform common data cleansing tasks.

The SQL Power DQguru helps you cleanse your data, validate and correct addresses, identify and remove duplicates, and build cross-references between source and target tables. This provides business users with complete and accurate data, and a single 360-degree view of all business entities, such as customer, product, representative, employee, supplier or business unit.

FEATURES:
1.  Intuitive GUI allows for quick adoption and use by data analysts
2.  Intuitive 'transform' process interface allows you to rapidly build and deploy data conversion work flows
3.  Users can define their own data matching criteria
4.  Duplicate verification via SQL Power's innovative interface
5.  Merge duplicates and their related data
6.  Can be used for initial or periodic data clean-up
7.  Generates cross reference tables to link source system identifiers to target database identifiers
8.  Extensive support for transformation and matching functions:
8.1 Concatenation
8.2 Double Metaphone, Metaphone, Refined Soundex, Soundex phonetic coding
8.3 Alphabet case conversion
8.4 String substitution
8.5 Substring and substring by word
8.6 Word substitution through the translation of words or groups of words
8.7 Merge rules for column, table and related table merges
9. Varying levels of data transformation are also supported to help manage the development and execution of data cleansing processes:
9.1 The Match Engine identifies duplicates, storing the results in a target table, without modifying the source data
9.2 The Merge Engine removes duplicate records from your source data according to the rules you have defined
9.3 The Cleansing Engine replaces records in your source data with reformatted data as per your rules

DATA SOURCES / FILE FORMATS:
JDBC, Oracle, Postgress, MySQL, Sybase and more
"
DQ Analyzer,"https://www.ataccama.com/products/dq-analyzer
https://www.softpedia.com/get/Others/Miscellaneous/DQ-Analyzer.shtml
https://www.ataccama.com/product/dq-analyzer/download
https://support.ataccama.com/home/docs/dqa

https://support.ataccama.com/home/docs/dqa/files/22446812/25992263/1/1482249727822/Ataccama+DQA+10+User+Guide.pdf",Proprietary,11,6/11/2019,"Processor: Intel-compatible - 2 GHz recommended
Memory: at least 512 MB - 1 GB recommended
Disk space for installation: 400 MB
Screen resolution: at least 1024 x 768",Windows,"Community Edition alone is Free - LIMITED

DQ Analyzer is a powerful and market-popular desktop application for advanced data profiling. It reveals the contents of your data in minutes and easily integrates with more advanced Ataccama ONE modules. While DQ Analyzer uncovers problems with your data, other Ataccama ONE modules will further help you transform, standardize, cleanse, validate, correct and enrich your data.

Data Profiling
Discover, analyze, and understand critical patterns in your data. Visualize the frequency, domain, and mask analysis of values, uncover complex dependencies between data attributes, and test relationships between entities. An accurate picture of your data is just one profile away.

FEATURES:
JDBC Reader: Reads data directly from a database such as Oracle, MS SQL, Sybase, etc.
Regex Matching: Allows flexible parsing and matching using regular expressions
Text File Reader: Reads data from a delimited text file, such as CSV
Fixed-Width File Reader: Reads data from a text file with fixed width columns
Condition: Splits the data stream based on a condition
Union Same: Combines data streams that have the same format
Column Assigner: A powerful and robust business-rules engine that allows the use of complex expressions
Profiling: Flexible, fully configurable data profiler

DATA SOURCES / FILE FORMATS:
Oracle, MS SQL, DB2, Sybase, Teradata, MySQL, Apache Derby, PostgreSQL
CSV, TXT, and XLS(X) 
"
Pimcore,"https://pimcore.com/en/platform/subscription
https://pimcore.com/docs/6.x/Development_Documentation/Getting_Started/Create_a_First_Project.html
https://pimcore.com/en/resources/documentation
https://pimcore.com/en/developers/marketplace
https://talk.pimcore.org/
https://gitter.im/pimcore/pimcore
https://stackoverflow.com/questions/tagged/pimcore",Open Source (GPL v3) or Enterprise subscription,v6.6.3,5/5/2020,"https://pimcore.com/docs/6.x/Development_Documentation/Installation_and_Upgrade/System_Requirements.html

For production we highly recommend a *nix based system.
Webserver: Apache >= 2.2; mod_rewrite; .htaccess support (AllowOverride All); Nginx; PHP >= 7.2
Database Server: MariaDB >= 10.0.0.5; MySQL >= 5.6.4; AWS Aurora (MySQL); Percona Server","Windows, MacOS or Linux","The Pimcore Platform™ is a dual-licensed software application that is powered by the Open Source GPLv3 license and the enterprise-friendly Pimcore Commercial License (PCL). Pimcore is available free of charge as the Open Source Pimcore Community Edition or as the Pimcore Enterprise Subscription. Depending on your licensing needs, you can choose the right variant of Pimcore.


FEATURES
Data Quality/Semantic -  Cleanse, match, verify, and standardize master data.
Hierarchy Management - Model and store multiple hierarchies to effectively classify all data instances for diverse business requirements and broader functionalities such as searching and reporting.
Rich Content Integration - Attach digital assets and rich content with the predefined layout to your structured data for engaging and simplified experiences. Simple to configure and easy to extend.
Audit Trail - Easily manage and maintain different versions of your structured and unstructured data in one place for better data governance. Improve data handling and data stewardship.
Superior Connectivity - Provide unimaginable choices to connect with business enterprise systems (ERP, CRM, BI, ESB, etc.) or external third-party applications. API based integration with unlimited connectivity.
Workflow Management - A powerful workflow engine allows internal and external stakeholders to join in your business processes quickly. Easily include any specific benchmarking effort into your master data.

"
CytoScape,"https://github.com/cytoscape/cytoscape-tutorials/wiki

https://cytoscape.org/download.html","GNU LESSER GENERAL PUBLIC LICENSE Version 2.1, February 1999",3.8.0,4/15/2020,JRE 11,"Windows, macOS, Linux","Cytoscape is an open source software platform for visualizing molecular interaction networks and biological pathways and integrating these networks with annotations, gene expression profiles and other state data. Although Cytoscape was originally designed for biological research, now it is a general platform for complex network analysis and visualization.

Cytoscape core distribution provides a basic set of features for data integration, analysis, and visualization.   
Additional features are available as Apps (formerly called Plugins)

DATA SOURCES / FILE FORMATS:
Simple interaction file (SIF or .sif format), Graph Markup Language (GML or .gml format), XGMML (extensible graph markup and modelling language), SBML, BioPAX, PSI-MI Level 1 and 2.5, Delimited text, Excel Workbook (.xls)"
Anaconda,"https://www.anaconda.com/products
https://docs.anaconda.com/
https://docs.anaconda.com/anaconda/install/
https://docs.anaconda.com/anaconda/reference/release-notes/
https://s3.us-east-1.amazonaws.com/anacondacdn/resources/datasheets/anaconda-enterprise-edition-onepager.pdf",GPLv3,3.0,3/11/2020,"License: Free use and redistribution under the terms of the End User License Agreement - Anaconda® Individual Edition.
Operating system: Windows 8 or newer, 64-bit macOS 10.13+, or Linux, including Ubuntu, RedHat, CentOS 6+, and others.
If your operating system is older than what is currently supported, you can find older versions of the Anaconda installers in our archive that might work for you. See Using Anaconda on older operating systems for version recommendations.
System architecture: Windows- 64-bit x86, 32-bit x86; MacOS- 64-bit x86; Linux- 64-bit x86, 64-bit Power8/Power9.
Minimum 5 GB disk space to download and install.
On Windows, macOS, and Linux, it is best to install Anaconda for the local user, which does not require administrator permissions and is the most robust type of installation.","Windows, macOS, or Linux.","User Rating: 8.8/10
Popular open-source data science platform, Enterprise Edition enables organizations to scale data science and machine learning capabilities. Anaconda is an open source Python distribution / data discovery & analytics platform.
Anaconda Individual Edition is a free, easy-to-install package manager, environment manager, and Python distribution with a collection of 1,500+ open source packages with free community support. 
Anaconda® is a package manager, an environment manager, a Python/R data science distribution, and a collection of over 7,500+ open-source packages. Anaconda is free and easy to install, and it offers free community support.

FEATURES

-Bindings to the following CUDA libraries:
--cuBLAS
--cuFFT
--cuSPARSE
--cuRAND
--CUDA Sorting algorithms from the CUB and Modern GPU libraries

-Speed-boosted linear algebra operations in NumPy, SciPy, scikit-learn and NumExpr libraries using Intel’s Math Kernel Library (MKL).

-Accelerated variants of Numpy’s built-in UFuncs.

-Increased-speed Fast Fourier Transformations (FFT) in NumPy."
pyxplorer,"https://pypi.org/project/pyxplorer/
https://github.com/grundprinzip/pyxplorer
http://nbviewer.ipython.org/github/grundprinzip/pyxplorer/blob/master/pyxplorer_stuff.ipynb","BSD 2-Clause ""Simplified"" License",0.1.0,7/9/2014,"
Dependencies: pandas; phys2 for Hive based loading of data sets; pympala for connecting to Impala;
snakebite for loading data from HDFS to Hive
","Windows, Linux, MacOS","The goal of pyxplorer is to provide a simple tool that allows interactive profiling of datasets that are accessible via a SQL like interface. The only requirement to run data profiling is that you are able to provide a Python DBAPI like interface to your data source and the data source is able to understand simplistic SQL queries.

Supported Features:
-Column Count (Database / Table)
-Table Count
-Tuple Count (Database / Table)
-Min / Max
-Most Frequent / Least Frequent
-Top-K Most Frequent / Top-K Least Frequent
-Top-K Value Distribution (Database / Table )
-Uniqueness
-Constancy
-Distinc Value Count

DATA SOURCES / FILE FORMATS:
Hive, Impala, MySQL"
MobyDQ,"https://github.com/ubisoftinc/mobydq
https://ubisoftinc.github.io/mobydq/
https://ubisoftinc.github.io/mobydq/pages/productiondeployment/",Apache License 2.0,v1.0,5/21/2019,,"Windows, Linux","MobyDQ is a tool for data engineering teams to automate data quality checks on their data pipeline, capture data quality issues and trigger alerts in case of anomaly, regardless of the data sources they use.

Free and open-source Data Quality solution that aims to automate Data Quality checks during data processing, storing Data Quality measurements and metric results, and triggering alerts in case of anomaly.  The framework can be used to access different data sources. It installed quickly and straightforward, based on the detailed documentation provided onGitHub. MobyDQ does not provide any data proﬁling functionality, because its focus is on the creation, application,and automation of Data Quality checks. 

MobyDQ provides a toolbox for data engineering teams to design data quality indicators with the objective to answer the following questions:

Is all the necessary data present in the system?
Is the data available at the time needed for its usage?
Is the data compliant with validation or business rules?
Does the data reflect real world objects?

These questions can be answered using the following types of indicators:

-Anomaly detection:        Machine learning algorithms to detect outlying values. **Work in progress**.
-Completeness:  Difference in percentage between a measure computed in the source system and the same measure computed in the target system.
-Freshness: Difference in minutes between the current timestamp and the last updated timestamp in the target system.
-Latency:        Difference in minutes between the last updated timestamp in the source system and the last updated timestamp in the target system.
-Validity: Any measure computed in target system which does not comply with a validation or business rules.

DATA SOURCES / FILE FORMATS:
Cloudera Hive, MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL, SQLite, Teradata, Snowflake, Hortonworks Hive "
